administrative_code,status,page_path,geonameid,reviewed_by,reviewed_at,quality_gate_version
110000,researched,destinations/中国/北京市/北京市.md,1816670,codex,2026-07-30,1
120000,researched,destinations/中国/天津市/天津市.md,1792947,codex,2026-07-30,1
130100,researched,destinations/中国/河北省/石家庄市.md,1795270,codex,2026-07-30,1
130181,researched,destinations/中国/河北省/辛集市.md,1788816,codex,2026-08-12,1
130200,researched,destinations/中国/河北省/唐山市.md,1793346,codex,2026-07-30,1
130300,researched,destinations/中国/河北省/秦皇岛市.md,1797595,codex,2026-07-31,1
130400,researched,destinations/中国/河北省/邯郸市.md,1808963,codex,2026-07-31,1
130500,researched,destinations/中国/河北省/邢台市.md,1788927,codex,2026-07-31,1
130582,researched,destinations/中国/河北省/沙河市.md,1796421,codex,2026-08-13,1
130600,researched,destinations/中国/河北省/保定市.md,1816971,codex,2026-07-30,1
130682,researched,destinations/中国/河北省/定州市.md,1812728,codex,2026-08-12,1
130700,researched,destinations/中国/河北省/张家口市.md,2033196,codex,2026-07-31,1
130800,researched,destinations/中国/河北省/承德市.md,2038087,codex,2026-08-11,1
130900,researched,destinations/中国/河北省/沧州市.md,1816080,codex,2026-07-31,1
131000,researched,destinations/中国/河北省/廊坊市.md,1804540,codex,2026-07-31,1
131082,researched,destinations/中国/河北省/三河市.md,1796823,codex,2026-07-31,1
131100,researched,destinations/中国/河北省/衡水市.md,1808392,codex,2026-07-31,1
140100,researched,destinations/中国/山西省/太原市.md,1793511,codex,2026-07-30,1
140200,researched,destinations/中国/山西省/大同市.md,2037799,codex,2026-07-30,1
140300,researched,destinations/中国/山西省/阳泉市.md,1787351,codex,2026-07-31,1
140400,researched,destinations/中国/山西省/长治市.md,1808956,codex,2026-07-31,1
140500,researched,destinations/中国/山西省/晋城市.md,1805741,codex,2026-08-11,1
140600,researched,destinations/中国/山西省/朔州市.md,1794328,codex,2026-08-12,1
140700,researched,destinations/中国/山西省/晋中市.md,10942283,codex,2026-07-31,1
140800,researched,destinations/中国/山西省/运城市.md,1785738,codex,2026-07-31,1
140881,researched,destinations/中国/山西省/永济市.md,1784818,codex,2026-08-11,1
140900,researched,destinations/中国/山西省/忻州市.md,1788450,codex,2026-07-31,1
141000,researched,destinations/中国/山西省/临汾市.md,1803567,codex,2026-07-31,1
141100,researched,destinations/中国/山西省/吕梁市.md,13512505,codex,2026-07-30,1
150100,researched,destinations/中国/内蒙古自治区/呼和浩特市.md,2036892,codex,2026-07-30,1
150200,researched,destinations/中国/内蒙古自治区/包头市.md,2038432,codex,2026-07-30,1
150300,researched,destinations/中国/内蒙古自治区/乌海市.md,1791249,codex,2026-08-12,1
150400,researched,destinations/中国/内蒙古自治区/赤峰市.md,2038067,codex,2026-08-12,1
150500,researched,destinations/中国/内蒙古自治区/通辽市.md,2034400,codex,2026-08-12,1
150600,researched,destinations/中国/内蒙古自治区/鄂尔多斯市.md,8347664,codex,2026-07-30,1
150700,researched,destinations/中国/内蒙古自治区/呼伦贝尔市.md,12548253,codex,2026-08-12,1
150782,researched,destinations/中国/内蒙古自治区/牙克石市.md,2033536,codex,2026-08-13,1
150783,researched,destinations/中国/内蒙古自治区/扎兰屯市.md,2033225,codex,2026-08-13,1
150800,researched,destinations/中国/内蒙古自治区/巴彦淖尔市.md,11838258,codex,2026-07-30,1
150900,researched,destinations/中国/内蒙古自治区/乌兰察布市.md,8335361,codex,2026-07-31,1
152201,researched,destinations/中国/内蒙古自治区/乌兰浩特市.md,2034312,codex,2026-08-12,1
152502,researched,destinations/中国/内蒙古自治区/锡林浩特市.md,8054802,codex,2026-08-12,1
210100,researched,destinations/中国/辽宁省/沈阳市.md,2034937,codex,2026-07-30,1
210200,researched,destinations/中国/辽宁省/大连市.md,1814087,codex,2026-07-30,1
210281,researched,destinations/中国/辽宁省/瓦房店市.md,1792260,codex,2026-08-11,1
